Time,A1,A17,A21,B3,B7,B11
10:49.9,439001.438,1634588.25,194134.188,7094.78955,8053.33447,7754.22363
10:55.9,436164.156,1642694.37,194042.953,7085.92285,8077.52246,7759.86621
11:01.9,436364.094,1641812.5,194524.953,7079.47412,8091.229,7761.47949
11:07.9,436409.812,1644979.63,194378.563,7075.4458,8085.5874,7762.2876
11:13.9,435407.063,1649237.37,194171.016,7068.18896,8069.46045,7760.67334
11:19.9,434889.313,1649383.5,194481.438,7056.09814,8045.27295,7775.18506
11:25.8,434677.156,1652842.63,194786.094,7056.90381,8046.88379,7773.57129
11:31.8,434549.875,1649210.37,194744.219,7041.58691,8046.88477,7767.12207
11:37.8,435514,1655389.25,194748.469,7036.75342,8050.91797,7774.37988
11:43.8,436499.312,1662457.38,195530.156,7041.58887,8052.52979,7775.99121
11:49.8,436752.031,1659873,195864.156,7043.20117,8063.01221,7775.99316
11:55.7,436144.906,1655993.62,196024.906,7048.03857,8065.43115,7780.02441
12:01.7,436032.562,1645891,195920.234,7042.39453,8067.04346,7784.86084
12:07.7,436321.188,1644101.87,195668.328,7042.396,8054.95068,7788.89258
12:13.7,435915.844,1657367.5,195711.844,7034.33496,8053.3374,7787.28076
12:19.7,435838.75,1659329.25,196213.281,7039.97949,8063.81982,7789.70068
12:25.8,436352.937,1667166.13,196595.062,7038.36719,8050.11426,7788.08838
12:31.8,436643.375,1671773.37,196805.203,7045.62158,8017.05811,7796.95654
12:37.7,437462.937,1672898.25,196744.906,7040.78418,8056.5625,7804.21045
12:43.7,437201.375,1680913.75,196831.094,7045.61963,8055.75537,7809.85352
12:49.7,437893.781,1683731.5,197114.109,7042.39453,8042.85547,7821.94678
12:55.7,437462,1681372.12,197425.609,7047.23291,8060.59424,7816.30566
