Time,A1,A17,A21,B3,B7,B11
12:03.3,431394.312,6397232,197522.203,5953.52002,4898.68506,6170.31689
12:09.3,432567.188,6566796.5,197917.406,5968.02539,4911.57617,6197.71924
12:15.2,433444.938,6749224,198724.781,5971.25,4901.90723,6222.70313
12:21.1,432650.5,6711791.5,199541.484,5976.89062,4908.35254,6251.71777
12:27.1,432642.656,6577710,200266.969,5976.08545,4906.74219,6262.19678
12:33.1,432138.594,6393824,199686.437,5967.22119,4902.71338,6271.0625
12:39.1,431620.437,6328587.5,198409.047,5971.25049,4905.13037,6268.64404
12:45.1,433282.781,6345593.5,198177.891,5976.89111,4912.38232,6293.62891
12:51.2,432649.688,6582406.5,199840.563,5985.75684,4918.82861,6304.91357
12:57.2,433600.25,6525322.5,200749.609,5993.81641,4926.88623,6316.19727
13:03.2,435217.563,6536817,201706.578,5984.14502,4925.27441,6317.00244
13:09.2,435939.5,6551932.5,202174.188,5994.62061,4928.49658,6327.479
13:15.2,435737.687,6694245,202272.297,6004.29297,4928.49658,6346.01709
13:21.2,434283.281,6579866,202201.844,6001.06738,4933.33008,6355.6875
