Time,A1,A17,A21,B3,B7,B11,,,,,,,,,,
05:31.7,631430.5,848437.625,52234.125,7707.51709,8051.77832,6012.35791,,,,,,,,,,
05:37.7,635586.438,843066.75,52723.8555,7582.55615,8041.29639,5885.02295,,,,,,,,,,
05:43.7,632332.25,823884.938,52087.707,7394.71875,7978.40869,5448.23975,,,,,,,,,,
05:49.7,628452.875,798917.625,51397.9531,7361.66602,7921.9707,5345.89893,,,,,,,,,,
05:55.6,619084.125,773805.437,50950.6523,6946.51904,7794.58936,5082.4043,,,,,,,,,,
06:01.6,572107.563,713439.562,47978.3008,6765.96045,7556.76025,4740.76611,,,,,,,,,,
06:07.6,553790.687,679155.063,45906.9805,6910.24414,7559.17773,4756.87988,,,,,,,,,,
06:13.5,558683.188,689318.063,46357.8984,7210.91992,7609.16162,5013.91357,,,,,,,,,,
06:19.5,557738.313,691635.563,47767.7969,7155.29932,7663.98389,4983.29492,,,,,,,,,,
06:25.5,558993.375,639550.563,47713.3477,7003.75195,7621.25537,4883.38135,,,,,,,,,,
06:31.6,556180.375,631616.563,46424.543,7023.09961,7547.89502,4766.55127,,,,,,,,,,
06:37.5,548252.188,615587.313,45010.9766,6782.08398,7431.80615,4481.33203,,,,,,,,,,
06:43.5,541314.188,596196.25,46441.6055,6688.58105,7418.90723,4449.91016,,,,,,,,,,
06:49.5,535649.125,581835.938,45051.582,6701.47949,7364.09131,4425.74121,,,,,,,,,,
06:55.4,532717.438,592622.063,45032.1055,6788.53369,7384.24512,4397.54297,,,,,,,,,,
07:01.4,527392.937,597213.5,45519.5039,6793.37012,7436.64502,4434.604,,,,,,,,,,
07:07.3,523867.844,554580.812,45845.2617,6735.33252,7397.94678,4335.50537,,,,,,,,,,
07:13.3,515910.656,551272.25,45093.8203,6729.68945,7379.40527,4325.03223,,,,,,,,,,
07:19.2,513071.094,582668.938,45693.3438,6893.32178,7426.9707,4473.27588,,,,,,,,,,
07:25.2,505638.344,579765.813,45764.0234,6649.89404,7366.50977,4254.13574,,,,,,,,,,
07:31.3,496798.25,577599.938,45777.8438,6795.78857,7368.92822,4314.56006,,,,,,,,,,
07:37.2,492395.375,563725.562,46027.2617,6786.92188,7356.02979,4351.61963,,,,,,,,,,
07:43.2,483510.344,555446.25,45289.6055,6618.4585,7292.34424,4121.20703,,,,,,,,,,
07:49.2,475526.312,544704.313,45506.5039,6511.25879,7289.12109,4055.95264,,,,,,,,,,
07:55.2,475144.469,537036.562,45287.1719,6639.4165,7264.93652,4143.76465,,,,,,,,,,
08:01.1,468315.5,538619.312,45715.2891,6691.00244,7314.91699,4225.1333,,,,,,,,,,
08:07.1,464918.531,532721.062,45839.5859,6574.93359,7310.0791,4136.51318,,,,,,,,,,
08:13.0,464016.812,520710.906,45497.5625,6641.02783,7293.15039,4196.13037,,,,,,,,,,
08:18.9,457620.281,516041.938,45703.1094,6603.146,7267.35645,4113.95752,,,,,,,,,,
08:24.9,454706.687,518461.531,45918.3984,6556.39697,7260.10059,4050.31348,,,,,,,,,,
08:30.9,457955.094,529035.312,46100.3828,6618.45996,7228.66113,4123.62451,,,,,,,,,,
08:36.9,456209.937,523747.531,46373.3828,6594.28027,7252.03906,4106.70654,,,,,,,,,,
08:42.8,451212.156,512331.438,46288.0742,6545.11279,7246.396,4056.75806,,,,,,,,,,
08:48.9,448644.281,495629.469,45783.5469,6425.01904,7188.35791,3939.94751,,,,,,,,,,
08:54.9,441464.656,503954.688,45755.9258,6492.72412,7211.73535,3987.47754,,,,,,,,,,
09:00.9,441144.969,490801.875,45862.3477,6494.33545,7203.67334,3998.7561,,,,,,,,,,
09:06.8,446786.313,497657.812,46141.0195,6404.86914,7222.21387,3855.36011,,,,,,,,,,
09:12.8,438763.812,494832.562,46165.3945,6358.92725,7192.38721,3835.2207,,,,,,,,,,
09:18.7,427557.281,480981.5,45733.1836,6383.91406,7138.37842,3840.86035,,,,,,,,,,
09:24.6,421284.344,477479.094,46074.4141,6293.64502,7176.26709,3756.27588,,,,,,,,,,
09:30.5,422322.844,479011.875,46017.5273,6333.94189,7162.56006,3772.38599,,,,,,,,,,
09:36.5,421005.125,465420.719,45878.5937,6307.34424,7130.31641,3744.99683,,,,,,,,,,
09:42.6,407972.812,455229.875,45820.1055,6226.74854,7115.80762,3692.63647,,,,,,,,,,
09:48.6,412975.438,437113.812,45265.2656,6209.01807,7091.62549,3637.85986,,,,,,,,,,
09:54.6,412809.563,429087.937,44747.0391,6216.27295,7055.35205,3620.94434,,,,,,,,,,
10:00.6,411412.312,446393.5,45738.0703,6230.78027,7090.82031,3670.88745,,,,,,,,,,
10:06.7,407195.625,413704.063,45399.3203,6096.18652,7059.3833,3569.39014,,,,,,,,,,
10:12.6,404615.531,403849,44911.9336,6030.09961,7027.13965,3508.16968,,,,,,,,,,
10:18.6,400466.188,416378.688,44899.7383,6094.57275,7047.28955,3550.86206,,,,,,,,,,
10:24.5,400025.313,412553.687,45128.8125,6078.45557,7032.78271,3535.55811,,,,,,,,,,
10:30.5,394067.656,401661.906,45107.6992,5978.52051,7033.58789,3442.11743,,,,,,,,,,
10:36.4,392548.344,405152.656,45247.4062,5987.38379,7019.88379,3409.09106,,,,,,,,,,
10:42.3,388309.719,420589.031,45227.1055,6074.42676,6999.73242,3462.25537,,,,,,,,,,
10:48.3,383358.906,418043.25,45551.2305,6047.02393,7016.65967,3459.03296,,,,,,,,,,
10:54.3,383056.625,412615.656,45717.7617,6009.95117,7009.40479,3424.396,,,,,,,,,,
11:00.3,384193.562,400862.719,45751.0781,5996.25049,6994.08936,3421.17383,,,,,,,,,,
11:06.3,377633.812,401121.531,45682.8359,5957.56641,7004.56885,3363.9834,,,,,,,,,,
11:12.3,375908.687,400448.906,45588.6055,5943.8667,6970.71436,3361.56763,,,,,,,,,,
11:18.3,375802.906,397624.75,45896.5078,5918.88281,6965.87744,3340.62402,,,,,,,,,,
11:24.2,370469.875,388836.5,45858.3125,5922.10596,6964.26465,3348.6792,,,,,,,,,,
11:30.2,366756.625,393440.188,45648.7148,5913.24023,6965.87598,3349.48438,,,,,,,,,,
11:36.2,368987.063,396636.438,45710.4609,5967.23779,6945.72461,3374.45483,,,,,,,,,,
11:42.1,369254.688,403149.844,46212.5508,5930.97119,6956.2041,3351.0957,,,,,,,,,,
11:48.0,365071.594,394053.812,45975.3203,5936.61426,6940.88965,3347.87427,,,,,,,,,,
11:54.1,356613.562,395464.687,46184.9336,5912.43604,6944.9209,3300.35034,,,,,,,,,,
12:00.0,361740.219,386502.937,46206.8711,5853.60596,6925.57617,3265.71484,,,,,,,,,,
12:06.1,358998.625,384153.719,46163.8125,5868.91797,6922.35156,3267.32593,,,,,,,,,,
12:12.0,352899.938,374954.969,45969.6328,5794.7749,6898.97412,3227.05103,,,,,,,,,,
12:18.0,350487.469,373132.719,45868.8828,5824.59131,6907.0332,3210.94116,,,,,,,,,,
12:23.9,349851.563,377447.344,46322.2383,5829.42676,6919.93066,3203.69165,,,,,,,,,,
12:29.9,352296.438,375593.063,46579.8047,5769.79053,6901.3916,3177.11133,,,,,,,,,,
12:35.9,350207.094,364248.75,46119.1289,5748.83887,6865.11963,3169.86304,,,,,,,,,,
12:41.9,349886.219,363150.906,45794.9688,5728.69238,6868.34424,3128.78442,,,,,,,,,,
12:47.8,350894.031,359961.563,46444.1211,5689.20313,6864.31201,3098.98169,,,,,,,,,,
12:53.8,348202.188,362336,46413.2422,5706.12646,6862.70117,3097.37109,,,,,,,,,,
12:59.8,345930.844,375106.719,46705.7656,5776.24023,6873.18164,3144.89404,,,,,,,,,,
13:05.8,346268.844,368884.156,46923.5352,5705.32178,6864.31445,3113.48071,,,,,,,,,,
13:11.8,338786.906,363536.719,46759.3945,5702.90381,6855.44678,3109.45312,,,,,,,,,,
13:17.8,338563.906,358156.781,46589.5664,5666.63867,6839.32471,3077.23437,,,,,,,,,,
13:23.8,342132.719,356808.844,46340.9375,5677.11523,6820.78613,3060.32056,,,,,,,,,,
13:29.8,338041.375,361049.219,46288.1211,5696.45654,6800.63428,3090.12183,,,,,,,,,,
13:35.7,338674.937,369361.312,46921.9102,5714.99219,6836.10156,3090.12231,,,,,,,,,,
13:41.6,336709.094,359424.812,47198.207,5659.3877,6831.26611,3050.65576,,,,,,,,,,
13:47.6,328814,358998.656,47227.4609,5661.8042,6824.81641,3036.15723,,,,,,,,,,
13:53.6,331949.531,354974.063,47084.4297,5660.19189,6812.72461,3041.79468,,,,,,,,,,
13:59.5,329803,351201.188,47206.3203,5646.49219,6805.47168,3040.18457,,,,,,,,,,
14:05.6,328423.875,347657.156,47347.7305,5588.47119,6793.38135,2984.60937,,,,,,,,,,
14:11.6,331845.625,352433.063,47199.0273,5640.854,6807.08594,3011.18945,,,,,,,,,,
14:17.7,330620.594,353053.781,47824.8047,5634.40625,6814.34082,2991.05371,,,,,,,,,,
14:23.8,324897.281,343620.844,47692.3164,5545.76074,6797.41162,2940.3103,,,,,,,,,,
14:29.8,325196,347275.969,47544.4023,5604.58789,6776.45361,2970.9165,,,,,,,,,,
14:35.7,322698.781,344184.469,47793.0977,5536.09033,6781.29004,2929.03394,,,,,,,,,,
14:41.7,325439.875,338462.344,47701.2539,5567.51807,6782.09521,2939.50415,,,,,,,,,,
14:47.7,322451.563,339715.938,47891.4297,5544.14697,6761.94287,2933.06055,,,,,,,,,,
14:53.7,317722.5,337309.75,47628.9219,5552.20703,6747.43555,2922.59058,,,,,,,,,,
14:59.6,316758.094,343962.969,48039.3594,5547.37158,6772.42285,2927.42285,,,,,,,,,,
15:05.6,317127.5,343035.687,48211.668,5547.37158,6758.72021,2921.78516,,,,,,,,,,
15:11.6,316566.937,342052.719,48329.543,5519.16797,6760.33301,2907.2876,,,,,,,,,,
15:17.6,317668.5,335214.344,48019.8516,5470.81641,6752.27197,2846.88062,,,,,,,,,,
15:23.6,318394.781,331512.813,48125.5234,5467.59375,6736.15186,2861.37866,,,,,,,,,,
15:29.7,312092.531,333937.031,48000.3594,5472.42969,6716.00146,2858.96289,,,,,,,,,,
15:35.7,309399.688,331308.25,48162.0977,5490.96338,6727.28564,2872.65479,,,,,,,,,,
15:41.6,312639.781,332623.719,48544.125,5457.92334,6740.18115,2846.88086,,,,,,,,,,
15:47.6,312109.625,331171.563,48531.1211,5496.604,6725.67432,2854.13037,,,,,,,,,,
15:53.5,310498.031,330210.594,48940.0195,5447.44824,6736.15283,2820.30273,,,,,,,,,,
15:59.5,308589.094,324357.281,48536.8164,5378.14648,6707.94092,2780.83765,,,,,,,,,,
16:05.5,307598.094,315882.094,48193.8047,5359.6123,6682.95361,2780.03247,,,,,,,,,,
16:11.4,305785.156,320714.125,48303.5313,5380.56348,6698.26807,2770.36719,,,,,,,,,,
16:17.4,308601,319046.562,48634.3516,5404.73828,6694.23828,2800.9729,,,,,,,,,,
16:23.4,306231.719,320443.906,48981.4727,5407.9624,6715.1958,2799.3623,,,,,,,,,,
16:29.4,305973.344,318177.031,48742.4648,5378.95166,6686.17773,2788.08643,,,,,,,,,,
16:35.4,307853.062,318386.25,48665.2461,5378.14648,6686.17773,2763.11914,,,,,,,,,,
16:41.5,308649.906,314277.906,48896.9336,5333.02148,6679.73145,2724.46069,,,,,,,,,,
16:47.5,305344.75,310798.656,48753.0547,5337.0498,6654.74219,2746.20532,,,,,,,,,,
16:53.4,305888.625,311928.031,49281.4453,5320.12598,6682.95215,2736.54004,,,,,,,,,,
16:59.3,304289.219,306602.062,48877.4063,5290.31152,6670.86328,2705.12988,,,,,,,,,,
17:05.3,304066.906,309204.5,48765.2344,5324.15625,6666.02686,2718.82202,,,,,,,,,,
17:11.2,303401.688,308702.969,49011.5586,5259.69189,6646.68311,2680.96899,,,,,,,,,,
17:17.2,298934.531,313122.188,48859.543,5307.23535,6642.65283,2695.46582,,,,,,,,,,
17:23.1,297582.438,312875.469,49174.1484,5294.3418,6644.26514,2677.74731,,,,,,,,,,
17:29.1,299343.75,313707.219,49563.5625,5268.55518,6647.48779,2671.30371,,,,,,,,,,
17:35.1,296835.125,312262.969,49553.8086,5291.11768,6642.65186,2689.02246,,,,,,,,,,
17:41.1,294982.531,311881.906,49935.9492,5256.46826,6652.3252,2651.16968,,,,,,,,,,
17:47.1,297966.75,301115.062,49352.1836,5196.83887,6603.96289,2614.927,,,,,,,,,,
17:53.0,296973.531,301351.031,49374.9609,5204.0918,6612.83008,2614.92749,,,,,,,,,,
17:58.9,294544.75,300190.5,49310.7305,5229.87695,6606.38135,2633.45117,,,,,,,,,,
18:04.8,291948.063,305045.313,49788.7852,5262.91504,6627.33838,2656.00195,,,,,,,,,,
18:10.8,292105.031,303453.031,50040.8437,5218.5957,6622.50195,2627.00806,,,,,,,,,,
18:16.7,291076.219,304584.281,49967.6602,5223.43066,6614.44189,2629.42432,,,,,,,,,,
18:22.7,290085.219,302200.563,50029.4531,5213.76074,6609.60547,2622.17578,,,,,,,,,,
18:28.7,290413.562,299459.906,49869.2813,5214.56641,6603.96387,2597.20923,,,,,,,,,,
18:34.8,291053.281,297706.281,50130.2891,5175.0835,6595.09814,2602.04175,,,,,,,,,,
18:40.7,290435.812,298568.969,49923.7578,5212.95557,6598.32178,2610.90063,,,,,,,,,,
18:46.7,287267.594,301111.656,50155.4883,5221.81885,6611.21777,2615.73267,,,,,,,,,,
18:53.4,287225.844,300632.281,50488.8906,5204.89795,6597.51562,2598.01465,,,,,,,,,,
18:59.3,288118.25,297818.156,50492.1328,5161.38428,6592.67969,2560.96753,,,,,,,,,,
19:05.2,288691.969,293431.781,50414.0664,5142.04541,6587.84277,2554.52441,,,,,,,,,,
19:11.2,288199.281,294934.813,50153.8789,5176.6958,6572.53076,2571.43799,,,,,,,,,,
19:17.2,287388.656,295852.438,50420.5781,5138.0166,6578.17139,2545.66553,,,,,,,,,,
19:23.1,283748.75,294764.906,50585.6562,5143.65771,6564.46875,2546.47095,,,,,,,,,,
19:29.1,282852.875,292969.375,50435.2227,5109.00879,6568.49951,2537.61206,,,,,,,,,,
19:35.1,285729.469,288860.844,50256.3281,5144.46289,6568.49854,2550.49756,,,,,,,,,,
19:41.1,286274.75,288204.344,50567.7617,5130.76416,6574.94629,2544.85986,,,,,,,,,,
19:47.2,285051.219,287588.063,50605.1641,5105.78467,6552.37793,2529.55786,,,,,,,,,,
19:53.3,282393,288806.25,50529.543,5119.4834,6562.05029,2517.47754,,,,,,,,,,
19:59.3,283241.969,288040.656,50782.4453,5117.06641,6542.70654,2514.25635,,,,,,,,,,
20:05.2,283563.125,288241.875,50975.1914,5096.92187,6558.82666,2514.25635,,,,,,,,,,
20:11.2,283336.562,284110.75,50851.5742,5059.0498,6537.06348,2506.20264,,,,,,,,,,
20:17.2,281660.781,282937.156,50469.375,5063.88379,6533.83887,2505.39697,,,,,,,,,,
20:23.1,282050.688,282275.438,50710.0703,5066.30176,6528.19727,2501.37036,,,,,,,,,,
20:29.1,281556.906,280873.312,50511.6523,5159.77295,6729.70508,2517.47754,,,,,,,,,,
20:35.1,293776.562,308856.156,56498.6445,5634.40625,7301.22461,3120.73071,,,,,,,,,,
20:41.2,367536.937,389738.438,69824.7031,6525.77783,8585.57227,3711.97388,,,,,,,,,,
20:47.2,401579.406,459008.031,74566.6328,7141.61182,8862.15918,4006.01147,,,,,,,,,,
20:53.2,502767,539873.188,83793.8437,7455.19922,9187.95117,4193.72021,,,,,,,,,,
20:59.3,549966.75,611704.25,90720.9531,7867.16797,9546.0293,4519.2085,,,,,,,,,,
21:05.3,577055.5,642267.562,96706.3438,7756.71533,9571.83691,4607.0293,,,,,,,,,,
21:11.3,633720.687,698697.875,101560.937,8245.30664,9504.0918,4799.59619,,,,,,,,,,
21:17.3,656041.938,740500.5,104132.211,9449.24902,10338.8867,5937.42236,,,,,,,,,,
21:23.3,707088.188,852832.375,112356.937,10215.4717,10372.7646,6684.56445,,,,,,,,,,
21:29.2,742370.437,908572.063,114167.727,9564.57715,9850.89453,6481.44629,,,,,,,,,,
21:35.2,743040.938,896439.125,113615.922,9831.53613,10108.998,6593.48193,,,,,,,,,,
21:41.2,738323.125,886793.188,112840.211,9733.94434,10030.7578,6549.1499,,,,,,,,,,
21:47.2,775925,916030.25,116363.117,9920.25781,10146.1016,6786.93213,,,,,,,,,,
21:53.2,787781.188,926869.188,116902.047,10018.6631,10038.0195,6724.8667,,,,,,,,,,
21:59.2,785959.688,919205.375,116356.531,9972.68555,9967.8457,6735.34473,,,,,,,,,,
22:05.2,767425.687,919701.25,118242.938,9986.39648,10060.6016,6790.96143,,,,,,,,,,
22:11.2,801295.688,926460.938,120098.758,10163.041,9934.77734,6944.11572,,,,,,,,,,
22:17.2,823937.25,961020,121361.375,10327.5928,10047.6992,7177.88623,,,,,,,,,,
22:23.1,837294.375,978356.875,122960.883,10420.3545,10064.6357,7224.63916,,,,,,,,,,
22:29.0,827319.062,965505.813,121874.414,10292.9063,10042.8574,7147.25146,,,,,,,,,,
22:35.0,801894.625,963767.625,121387.742,10327.5889,10020.2715,7163.37354,,,,,,,,,,
22:40.9,797016.625,969293.812,121410.836,10384.0557,10008.1748,7243.18066,,,,,,,,,,
22:47.0,795846.75,971931.437,122039.375,10358.2432,9994.46289,7228.67041,,,,,,,,,,
22:53.0,793755.937,974588.562,122565.688,10453.4258,10028.3379,7378.6123,,,,,,,,,,
22:59.0,794966.5,977310.125,123460.039,10503.4365,10026.7227,7452.77734,,,,,,,,,,
23:05.0,799154.438,989188.187,123483.148,10483.2705,10037.209,7501.95459,,,,,,,,,,
23:11.1,814188.25,985954.75,124296.016,10488.9209,10053.3447,7453.58594,,,,,,,,,,
23:17.1,814158.125,986391.5,125945.992,10303.3916,9989.62207,7329.43652,,,,,,,,,,
23:23.1,816726.438,986565.5,125082.523,10359.0469,9936.38672,7203.67871,,,,,,,,,,
23:29.1,808209.063,991233.125,124783.703,10476.8154,9925.89941,7385.05811,,,,,,,,,,
23:35.0,802672.313,1001803.5,125516.695,10424.3848,9945.25879,7463.25781,,,,,,,,,,
23:41.0,812526.438,1004323.94,126564.336,10509.083,9934.77344,7487.44141,,,,,,,,,,
23:46.9,811533.125,1001780.87,127113.414,10497.79,9955.74414,7626.10547,,,,,,,,,,
23:53.0,810266,1005555.5,127590.75,10519.5713,9936.3877,7657.54883,,,,,,,,,,
23:59.1,816260.75,1012743.44,127781.516,10365.501,9909.77148,7577.73535,,,,,,,,,,
