Time,A1,A17,A21,B3,B7,B11
42:20.2,858967.813,944830.313,175180.797,10861.5908,10671.21,7023.1001
42:26.3,872808,962762,176830.078,11066.5029,10717.9971,7220.59619
42:32.3,884163.812,972351.813,177932.656,11001.1553,10730.0977,7234.30127
42:38.3,904075.625,994051.312,180064.281,11132.6562,10776.0801,7366.50732
42:44.4,910241.625,1000271.69,181155.062,11228.6631,10805.123,7518.06689
42:50.4,920907.313,1012767.31,182181.828,11244.7998,10830.1318,7549.50879
42:56.3,931473.438,1022259.37,181967.25,11357.749,10776.0811,7689.78516
43:02.3,935776.75,1028990.63,182977.438,11383.5664,10880.9531,7677.69141
43:08.3,942078.438,1034816.06,184302.719,11408.5771,10909.1885,7809.91064
43:14.3,941219.5,1026399.94,184199.156,11348.875,10933.3916,7788.14209
43:20.2,943574.125,1028898.63,184629.297,11447.3037,10875.3066,7892.14453
43:26.2,939051.188,1035691,185171.391,11474.7363,10878.5352,7926.81494
43:32.2,945803.438,1046563.62,185289.25,11385.1846,10788.1855,7724.4541
43:38.3,943378.375,1041540.44,183957.016,11321.4453,10778.5049,7666.40771
43:44.2,936406.813,1035189.56,184266.875,11035.8506,10736.5566,7557.57227
43:50.3,927332.625,1026308,183497.703,11261.7441,10790.6055,7633.35352
43:56.3,920438.375,1035143.5,185958.375,11284.333,10943.8809,7595.46094
44:02.2,947820.437,1051423.13,187686.312,11439.2354,10905.1553,7913.91357
44:08.2,965033.875,1059497.25,189057.141,11506.2021,11066.5039,7926.81494
44:14.1,966376.75,1055222.5,188334.953,11470.7041,11030.2012,7837.32324
44:20.1,959345.687,1047191.31,189037.969,11510.2383,10985.8311,7949.39014
44:26.1,958906.937,1048173.44,189260.313,11517.501,11022.9414,7956.64697
44:32.1,967605.5,1055596,189882.344,11609.4805,11042.3047,8046.94727
44:38.2,977197.062,1072797,190298.688,11582.8525,11031.0078,8068.71582
44:44.2,975870.062,1059319,189680.844,11737.7705,10986.6416,8238.84375
44:50.3,975004.125,1058083.75,190860.75,11726.4775,11076.9971,8236.42578
44:56.4,982751.813,1061463,191424.406,11742.6143,11070.5439,8272.70801
45:02.4,989285.687,1071761.62,191581.656,11746.6465,11062.4746,8209.81641
45:08.4,983849.937,1073359.12,191196.891,11755.5215,11029.3975,8188.04639
45:14.3,985881.5,1064436.5,191632.656,11797.4795,11100.3926,8292.05859
45:20.3,980628.125,1064603.5,191754.781,11766.0117,11173.001,8325.11719
45:26.3,980356.813,1068783.75,191982.25,11857.1885,11164.127,8354.95117
45:32.3,986157.875,1069286,192599.641,11826.5293,11141.5391,8417.03809
45:38.2,986557.063,1063956,192955.219,11842.667,11117.3359,8394.46094
45:44.2,989609.813,1060159.63,192354.516,11840.2451,11095.5527,8391.23437
45:50.2,980379.437,1055254.62,190817.266,11678.873,11060.8633,8128.38379
45:56.3,971895.375,1053922,190757.859,11846.6982,11081.0312,8350.11328
46:02.2,971783.875,1061183,192042.547,11848.3164,11106.043,8345.27734
46:08.4,975632.875,1055856.75,192254.156,11690.9775,11058.4463,8209.82031
